Feature,Importance
hist_eq_operational_carbon_emission_t,22.584778
future_eq_solar_photovoltaic_production,4.934506
future_eq_temperature,3.6702232
future_t_hour_cos,2.8190043
future_eq_consumption,2.1933653
hist_eq_wind_power_production_offshore,1.3788849
hist_eq_solar_photovoltaic_production,1.3647093
future_t_quarter_cos,1.3623998
future_eq_residual_power_production_day_ahead,0.9340717
future_t_quarter_sin,0.8139572
future_eq_price_spot_day_ahead_eur,0.6509291
hist_t_day_cos,0.6372765
hist_t_month_cos,-0.4437607
hist_t_month_sin,-0.43361837
hist_t_hours_since_start,0.42286053
hist_t_quarter_sin,-0.38212472
hist_t_hour_cos,0.3555731
future_t_month_sin,-0.32504654
future_t_day_cos,0.312294
future_t_day_sin,0.29816684
future_t_year_month,0.289859
future_t_hour_sin,0.26354447
hist_eq_wind_power_production_onshore,0.21468106
hist_t_days_since_start,-0.21002369
hist_eq_temperature,0.13907738
hist_t_day_sin,0.1319929
future_t_month_cos,0.13037929
hist_t_weeks_since_start,-0.11931038
future_eq_wind_power_production_onshore,-0.101339534
future_t_weeks_since_start,-0.061468504
hist_t_hour_sin,0.060732078
hist_t_year_month,0.054066278
future_t_days_since_start,-0.051389694
hist_eq_residual_power_production_day_ahead,0.027186776
future_t_hours_since_start,-0.027094077
future_eq_dk1_exchange_day_ahead_schedule_net_export,-0.024098968
hist_eq_dk1_exchange_day_ahead_schedule_net_export,-0.020886231
hist_eq_consumption,0.017773246
hist_eq_price_spot_day_ahead_eur,0.016526604
hist_t_quarter_cos,0.012396431
future_eq_wind_power_production_offshore,-0.0051740645
hist_t_year,0.0
future_t_year,0.0
